File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,2d8c10a1bc411e193664282025b500e0,33456020,41650691
BuiltInStandalonePlugins.zip,9d3f4830571d9cc2178a503e6d3d492b,4084702,5086511
Plugins.zip,93cf18c52dba91b4a0803c158b6e56a3,918765,2023744
Qml.zip,07ff0bf7c1fb6e78846e653e18689b73,3653678,8768545
StudioFonts.zip,6e7ba1be6bd9f0f8987bec0f5c29d5f2,275340,563776
RobloxStudio.zip,09de4e7af8fa891cfb1da3902ad56cec,33870061,73783038
Libraries.zip,c49fc509ccdeb381548406295379b091,7926956,19657192
LibrariesQt5.zip,b5cd115acc6728e9df3313e23e20075a,12741623,30366032
content-avatar.zip,6ac8e88b590398e1f6a0926c05c6665c,194530,931600
content-configs.zip,a7b7652130dae638e4f6b5a777ae0ad5,13717,40229
content-fonts.zip,3d0832cd60961df22c74860ec79cf241,5699419,11635222
content-models.zip,3f47e1ca3801c6c6d4bd20e88816af70,173528,711179
content-qt_translations.zip,16a73623544b12b2a651b356515e0b72,431281,1458547
content-sky.zip,85d7c3fdb9deba31bd26adc749aced83,1071883,2906857
content-sounds.zip,1ca82b55023556317f7b94d755233a63,344428,363670
shaders.zip,a213d02f5290b54a45bd36b02b6760cc,6160072,42257959
ssl.zip,86fbd63c52b399fc0d218f198c76b6b8,118562,207409
content-textures2.zip,44b319649ccb7332a34733eb22812318,7152327,8033051
content-textures3.zip,432c1bd085bc1275cb8feada7243e6b2,28467988,46537508
content-terrain.zip,76d6582d45aa7cadb1654118f60e3175,31002108,42654892
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
extracontent-scripts.zip,8de4a8dab65150108951d674513deb98,1939973,5955944
extracontent-luapackages.zip,cd0fe867ea3b8647a72c466a1e1f5f95,4522210,7643873
extracontent-translations.zip,a241853d36d3775eb774d1fb88d3a5e1,114490,426733
extracontent-models.zip,c0968eb769a790a9f0e78d527488e69d,2248635,2715704
extracontent-textures.zip,8b787be803f65daa225d0f0c7e32789e,6867681,6915876
redist.zip,8de9438568004f801e6cfadb687f5097,1501652,3514904
